year-month	data_source	country	term	hits	number of news
2011-7	Wikipedia	english	Brown recluse spider	NA	6
2011-8	Wikipedia	english	Brown recluse spider	NA	4
2011-9	Wikipedia	english	Brown recluse spider	NA	5
2012-1	Wikipedia	english	Brown recluse spider	NA	2
2012-10	Wikipedia	english	Brown recluse spider	NA	8
2012-11	Wikipedia	english	Brown recluse spider	NA	6
2012-12	Wikipedia	english	Brown recluse spider	NA	6
2012-2	Wikipedia	english	Brown recluse spider	NA	4
2012-3	Wikipedia	english	Brown recluse spider	NA	2
2012-4	Wikipedia	english	Brown recluse spider	NA	4
2012-5	Wikipedia	english	Brown recluse spider	NA	6
2012-6	Wikipedia	english	Brown recluse spider	NA	18
2012-7	Wikipedia	english	Brown recluse spider	NA	9
2012-8	Wikipedia	english	Brown recluse spider	NA	9
2012-9	Wikipedia	english	Brown recluse spider	NA	5
2013-1	Wikipedia	english	Brown recluse spider	NA	6
2013-10	Wikipedia	english	Brown recluse spider	NA	34
2013-11	Wikipedia	english	Brown recluse spider	NA	43
2013-12	Wikipedia	english	Brown recluse spider	NA	8
2013-2	Wikipedia	english	Brown recluse spider	NA	11
2013-3	Wikipedia	english	Brown recluse spider	NA	4
2013-4	Wikipedia	english	Brown recluse spider	NA	4
2013-5	Wikipedia	english	Brown recluse spider	NA	32
2013-6	Wikipedia	english	Brown recluse spider	NA	6
2013-7	Wikipedia	english	Brown recluse spider	NA	2
2013-8	Wikipedia	english	Brown recluse spider	NA	7
2013-9	Wikipedia	english	Brown recluse spider	NA	15
2014-1	Wikipedia	english	Brown recluse spider	NA	9
2014-10	Wikipedia	english	Brown recluse spider	NA	59
2014-11	Wikipedia	english	Brown recluse spider	NA	26
2014-12	Wikipedia	english	Brown recluse spider	NA	8
2014-2	Wikipedia	english	Brown recluse spider	NA	11
2014-3	Wikipedia	english	Brown recluse spider	NA	6
2014-4	Wikipedia	english	Brown recluse spider	NA	4
2014-5	Wikipedia	english	Brown recluse spider	NA	3
2014-6	Wikipedia	english	Brown recluse spider	NA	4
2014-7	Wikipedia	english	Brown recluse spider	NA	5
2014-8	Wikipedia	english	Brown recluse spider	NA	16
2014-9	Wikipedia	english	Brown recluse spider	NA	32
2015-1	Wikipedia	english	Brown recluse spider	NA	4
2015-10	Wikipedia	english	Brown recluse spider	183965	24
2015-11	Wikipedia	english	Brown recluse spider	114994	26
2015-12	Wikipedia	english	Brown recluse spider	61219	12
2015-2	Wikipedia	english	Brown recluse spider	NA	4
2015-3	Wikipedia	english	Brown recluse spider	NA	11
2015-4	Wikipedia	english	Brown recluse spider	NA	14
2015-5	Wikipedia	english	Brown recluse spider	NA	17
2015-6	Wikipedia	english	Brown recluse spider	NA	26
2015-7	Wikipedia	english	Brown recluse spider	220750	19
2015-8	Wikipedia	english	Brown recluse spider	220068	17
2015-9	Wikipedia	english	Brown recluse spider	233458	41
2016-1	Wikipedia	english	Brown recluse spider	56698	10
2016-10	Wikipedia	english	Brown recluse spider	110960	14
2016-11	Wikipedia	english	Brown recluse spider	72109	30
2016-12	Wikipedia	english	Brown recluse spider	48573	26
2016-2	Wikipedia	english	Brown recluse spider	53717	16
2016-3	Wikipedia	english	Brown recluse spider	69781	15
2016-4	Wikipedia	english	Brown recluse spider	99376	25
2016-5	Wikipedia	english	Brown recluse spider	124233	15
2016-6	Wikipedia	english	Brown recluse spider	151549	6
2016-7	Wikipedia	english	Brown recluse spider	136712	9
2016-8	Wikipedia	english	Brown recluse spider	168768	20
2016-9	Wikipedia	english	Brown recluse spider	175862	34
2017-1	Wikipedia	english	Brown recluse spider	47839	19
2017-10	Wikipedia	english	Brown recluse spider	108046	18
2017-11	Wikipedia	english	Brown recluse spider	72280	9
2017-12	Wikipedia	english	Brown recluse spider	52583	17
2017-2	Wikipedia	english	Brown recluse spider	51542	18
2017-3	Wikipedia	english	Brown recluse spider	74786	11
